Customer_ID,Transaction_ID,Transaction_Date,Category_Code,Transaction_Type,Transaction_Amount,Payment_Code,Number_of_Transactions
90680,3428351,2026-01-12,2,Return,3153.99,3,
90680,2158557,2026-07-16,5,Sale,8720.87,2,26
90680,6533634,2026-03-08,7,Sale,9038.18,2,26
90680,1175943,2026-03-19,3,Sale,2059.08,3,26
90680,9474122,2024-09-05,3,Return,1793.35,3,
90680,2181452,2024-08-02,1,Sale,762.05,5,26
90680,9713568,2025-12-29,9,Sale,6529.67,5,26
90680,7749122,2026-01-07,8,Sale,3524.38,4,26
90680,9216875,2025-09-11,6,Sale,820.43,2,26
90680,4980238,2026-03-16,6,Sale,2962.1,5,26
90680,1895196,2025-03-19,6,Sale,1010.42,3,26
90680,2066637,2025-11-10,1,Sale,322.19,1,26
16606,7174828,2025-05-27,1,Sale,1554.48,2,1
16606,1246086,2025-09-09,4,Return,1554.1,2,
33822,4319131,2026-05-10,6,Return,1338.64,3,
33822,3741259,2026-03-05,3,Sale,2826.8,3,10
33822,9316960,2025-10-14,3,Sale,1910.4,4,10
33822,8301460,2026-05-15,3,Sale,1519.01,2,10
33822,5865423,2024-10-31,2,Sale,3319.69,1,10
33822,3703857,2024-12-19,5,Return,2573.71,1,
33822,3007812,2025-08-27,1,Sale,483.85,4,10
33822,5259138,2025-05-28,1,Sale,563.99,4,10
33822,8083173,2025-12-24,1,Return,1259.81,4,
33822,8315741,2026-01-26,10,Sale,1144.46,5,10
33822,7274566,2024-10-09,1,Sale,798.33,4,10
33822,9406318,2026-06-23,2,Sale,3804.26,2,10
33822,8788021,2024-08-24,3,Sale,1650.14,5,10
78966,6264252,2026-03-02,5,Sale,4622.43,4,12
78966,8973881,2026-02-11,2,Sale,3264.48,2,12
78966,2929378,2025-07-29,1,Sale,1215.1,5,12
78966,6738670,2025-12-10,3,Sale,3023.53,4,12
78966,1373104,2025-10-01,7,Sale,5943.37,2,12
78966,7578353,2026-03-12,6,Sale,1537.3,2,12
78966,4237435,2025-05-09,7,Sale,4849.64,4,12
78966,9849718,2025-03-18,8,Sale,6073.04,5,12
78966,9638297,2026-01-06,2,Sale,2903.41,1,12
78966,8281689,2025-06-12,2,Sale,6153.26,4,12
78966,2866443,2025-04-17,7,Sale,5774.57,5,12
78966,6275261,2025-02-04,1,Sale,1025.49,2,12
65136,5926452,2024-11-18,3,Sale,1241.44,1,7
65136,1302980,2024-08-12,1,Return,872.38,1,
65136,1688517,2025-05-11,7,Sale,2430.56,2,7
65136,5357393,2025-04-04,4,Sale,1532.73,3,7
65136,3664641,2026-06-27,1,Sale,1239.38,5,7
65136,3809575,2025-09-19,3,Sale,1462.7,5,7
65136,8484655,2025-06-09,1,Sale,564.31,1,7
65136,6018192,2025-04-27,1,Sale,747.33,5,7
49375,3735904,2025-04-08,1,Sale,1223.05,3,7
49375,9641201,2025-07-25,3,Sale,1091.04,5,7
49375,4164344,2025-04-25,8,Sale,2415.95,2,7
49375,4092519,2025-11-24,8,Sale,2220.14,5,7
49375,8215749,2026-04-15,2,Sale,2980.44,5,7
49375,7925014,2025-11-17,4,Sale,1712.18,4,7
49375,3255716,2025-07-04,7,Sale,9118.62,3,7
49375,8602021,2025-11-28,3,Return,2930.81,2,
49375,8493963,2025-05-05,5,Return,3140.96,1,
70239,6202386,2025-07-14,9,Sale,6318.71,4,17
70239,5495239,2025-02-13,6,Return,743.34,1,
70239,3477161,2026-05-05,5,Sale,9999.99,5,17
70239,9809891,2026-02-03,1,Sale,1420.89,5,17
70239,7995489,2024-12-08,3,Sale,948.57,2,17
70239,4456676,2024-10-17,2,Sale,5220.13,5,17
70239,4820763,2026-05-19,6,Sale,3539.23,4,17
70239,1410746,2025-02-16,1,Sale,688.35,5,17
70239,8503306,2026-04-11,3,Sale,1617.68,2,17
70239,8792743,2026-06-08,2,Sale,2193.79,1,17
70239,9701883,2025-02-24,9,Sale,2539.54,3,17
70239,3217872,2024-11-09,3,Sale,1243,1,17
70239,1730297,2025-11-15,8,Sale,3016.28,3,17
70239,8234181,2025-05-05,1,Sale,1535.53,4,17
70239,2820553,2024-09-21,7,Sale,3526.91,1,17
70239,3036510,2026-03-06,5,Sale,6605.66,1,17
70239,9380668,2025-08-24,1,Sale,527.86,4,17
70239,8050040,2026-03-14,2,Sale,2181.56,5,17
73325,7525775,2026-01-18,7,Sale,8762.83,1,8
73325,1012824,2024-08-13,1,Sale,771.57,4,8
73325,1018880,2026-05-22,7,Sale,5554.15,4,8
73325,1879812,2024-12-19,3,Sale,1192.75,1,8
73325,5960151,2024-08-07,1,Sale,455.19,5,8
73325,3921685,2025-02-12,2,Sale,2060.99,1,8
73325,8415388,2025-04-05,9,Sale,7748.9,4,8
73325,9494934,2025-10-21,1,Sale,1233.67,4,8
39660,2558655,2026-01-22,9,Return,3457.94,3,
39660,2066083,2025-07-16,6,Sale,1434.94,3,20
39660,1773584,2025-09-02,7,Sale,8867.44,1,20
39660,7601697,2026-05-25,2,Sale,5486.02,4,20
39660,4679182,2025-09-10,1,Sale,969.98,4,20
39660,3869067,2026-06-22,1,Sale,2272.96,3,20
39660,3461996,2025-01-16,3,Sale,712.69,2,20
39660,7270164,2024-09-28,1,Sale,879.44,5,20
39660,6845460,2025-09-23,9,Sale,9999.99,5,20
39660,9842143,2025-02-19,4,Sale,2330.61,5,20
39660,5985619,2025-12-25,4,Return,739.32,3,
39660,5318081,2025-06-10,6,Sale,1175.84,4,20
39660,3325046,2024-10-01,5,Sale,5789.1,4,20
39660,4196948,2025-09-08,10,Sale,843.41,3,20
39660,8605814,2025-11-25,6,Sale,1834.99,2,20
39660,9829861,2026-02-15,3,Sale,2439.55,3,20
39660,6048149,2025-04-18,4,Sale,1554.76,4,20
39660,6937767,2026-05-16,6,Sale,1783.51,5,20
39660,9973532,2024-11-30,5,Sale,7043.19,4,20
39660,6755627,2025-10-19,4,Sale,2042.9,5,20
39660,1022725,2025-07-26,5,Sale,4049.59,4,20
39660,8979247,2024-11-29,6,Sale,1211,1,20
30475,5369696,2024-11-13,1,Sale,822.3,1,8
30475,4024315,2024-08-06,4,Sale,741.15,2,8
30475,2612230,2026-05-08,3,Return,1815.62,4,
30475,9024301,2025-08-13,9,Sale,6698.92,4,8
30475,5857121,2025-04-08,5,Sale,3706.18,2,8
30475,8687131,2025-07-23,7,Sale,9999.99,4,8
30475,1911963,2025-02-01,6,Sale,1302.7,5,8
30475,5188753,2025-08-19,4,Sale,1018.35,5,8
30475,8061711,2026-02-26,3,Sale,801.23,5,8
57943,6878402,2025-02-15,6,Sale,914.64,5,2
57943,6695461,2025-05-09,6,Sale,937.59,4,2
57943,1920507,2024-09-13,1,Return,1370.86,3,
57943,7779985,2025-07-04,1,Return,1261.88,3,
96435,9161460,2025-12-05,2,Sale,4880.94,5,13
96435,6973056,2026-01-15,9,Sale,2794.3,2,13
96435,1541048,2025-11-02,2,Sale,7083.13,4,13
96435,2015823,2025-12-09,5,Sale,4710.8,1,13
96435,1108969,2024-11-22,1,Sale,1073.92,3,13
96435,7491750,2025-08-13,4,Sale,927.15,2,13
96435,2280059,2026-04-17,4,Return,810.71,2,
96435,3277752,2025-12-26,4,Sale,1281.39,4,13
96435,9444762,2024-12-27,5,Sale,5334.19,5,13
96435,4193134,2025-09-07,1,Sale,561.11,4,13
96435,7605513,2026-05-18,3,Sale,3359.17,5,13
96435,9907154,2026-03-27,2,Sale,3558.29,5,13
96435,9190192,2024-09-09,6,Sale,2311,3,13
96435,3551053,2026-01-22,10,Sale,1162.98,5,13
92392,3891426,2024-11-04,1,Sale,730.97,5,5
92392,1196070,2026-03-17,3,Sale,2559.09,5,5
92392,1188826,2025-01-20,2,Sale,1554.27,4,5
92392,9111361,2025-04-26,7,Return,4632.65,4,
92392,6315159,2025-09-29,4,Sale,1174.96,4,5
92392,9561732,2026-03-08,1,Sale,1238.88,4,5
28093,2211816,2026-01-03,1,Sale,312.37,3,10
28093,4562180,2025-07-09,10,Sale,330.93,1,10
28093,8716798,2025-08-24,2,Sale,9890.81,3,10
28093,8426735,2026-06-13,3,Sale,2022.21,2,10
28093,9651116,2025-04-26,10,Sale,549.64,3,10
28093,1098234,2026-02-24,8,Sale,1610.33,4,10
28093,5697320,2025-05-26,10,Sale,373.55,3,10
28093,5017481,2025-12-12,5,Sale,4125.26,1,10
28093,6984276,2026-04-11,6,Sale,1296.86,4,10
28093,5586918,2025-10-13,1,Sale,1461.75,5,10
44534,1780795,2025-08-10,4,Sale,2187.28,3,7
44534,8956986,2025-08-26,1,Sale,386.81,4,7
44534,8470528,2025-01-01,2,Sale,3266.12,5,7
44534,3255025,2026-06-03,7,Sale,9999.99,3,7
44534,1166082,2025-03-11,5,Sale,4687.88,3,7
44534,7888981,2024-10-02,2,Sale,3239.07,4,7
44534,7321049,2024-12-16,9,Sale,3878.77,2,7
34954,5563475,2025-03-26,6,Sale,1293.76,3,14
34954,2975002,2025-12-18,8,Sale,3230.08,5,14
34954,8926777,2026-07-16,1,Sale,1200.65,3,14
34954,4508877,2024-11-08,7,Sale,9999.99,3,14
34954,2459021,2026-02-16,3,Sale,3838.21,5,14
34954,7406260,2026-07-15,2,Sale,8783.9,4,14
34954,1739187,2026-03-30,4,Sale,759.34,3,14
34954,3414233,2026-06-30,7,Sale,5181.43,2,14
34954,1219796,2025-09-14,8,Sale,1935.22,1,14
34954,6265759,2024-08-18,5,Sale,9611.14,5,14
34954,7841730,2024-10-24,7,Sale,6657.51,3,14
34954,8977959,2025-07-12,5,Sale,2711.63,1,14
34954,5531127,2025-07-04,1,Sale,455.07,3,14
34954,2783974,2026-02-12,1,Sale,1495.63,2,14
20365,1304698,2025-05-06,2,Return,3105.65,3,
20365,8378548,2025-10-13,6,Sale,843.03,1,13
20365,3922036,2026-05-24,1,Sale,1281.89,5,13
20365,5838940,2026-05-28,2,Sale,9999.99,5,13
20365,1207615,2025-05-06,10,Sale,802.36,3,13
20365,3938902,2025-05-20,4,Sale,1708.52,2,13
20365,6397249,2025-02-26,2,Sale,1625.63,4,13
20365,6373170,2026-02-21,8,Sale,2848.55,4,13
20365,5467090,2024-10-11,1,Sale,870.49,3,13
20365,6818715,2026-01-16,2,Sale,3065.48,2,13
20365,2400034,2025-05-31,8,Sale,1523.19,3,13
20365,1588956,2026-05-22,5,Sale,7745.29,3,13
20365,7336555,2025-04-17,3,Sale,1847.59,3,13
20365,6107528,2025-09-14,5,Sale,4391.49,3,13
50550,9317417,2025-03-23,4,Sale,3138.6,5,5
50550,1422647,2025-02-25,9,Sale,4177.15,4,5
50550,7670925,2025-08-16,3,Sale,5997.54,5,5
50550,5982709,2025-08-19,1,Sale,576.75,1,5
50550,5758934,2025-07-31,1,Return,1692.48,4,
50550,1258779,2026-07-04,3,Sale,1062.17,4,5
21746,7942379,2026-06-02,3,Sale,1166.18,4,10
21746,6427990,2024-11-23,4,Sale,1573.95,5,10
21746,7244741,2024-10-26,9,Sale,7234,5,10
21746,7105253,2026-07-26,8,Sale,2480.72,2,10
21746,7795191,2025-12-09,3,Sale,2347.55,3,10
21746,7439367,2025-12-20,8,Sale,1341.66,3,10
21746,8292565,2026-07-22,2,Return,8415.18,5,
21746,8004093,2025-01-13,10,Sale,1743.98,3,10
21746,9600316,2025-01-13,3,Sale,1695.5,5,10
21746,9536600,2026-01-05,8,Sale,2628.67,3,10
21746,1596681,2025-04-07,1,Sale,1285.06,3,10
73096,3890664,2024-09-10,2,Sale,2465.98,2,4
73096,8113502,2026-03-24,6,Sale,796.18,4,4
73096,6216993,2025-09-09,4,Sale,1499.81,5,4
73096,2215086,2026-03-15,10,Sale,1155.99,5,4
36135,6674316,2026-02-23,1,Sale,795.74,1,8
36135,4111952,2026-06-17,5,Sale,5037.8,5,8
36135,7239422,2025-10-06,2,Sale,4876.5,4,8
36135,4964566,2025-07-17,1,Sale,681.74,4,8
36135,4074735,2025-09-20,10,Sale,341.03,1,8
36135,7118290,2026-06-05,4,Sale,915.84,3,8
36135,3045321,2026-01-01,7,Sale,9999.99,5,8
36135,1161235,2024-08-31,2,Sale,4418.92,5,8
71241,8700318,2024-12-11,2,Sale,4350.91,4,3
71241,7307193,2025-05-24,9,Sale,3946.94,5,3
71241,4138978,2025-04-24,4,Sale,1584.42,4,3
71241,2552822,2026-04-07,6,Return,1841.18,5,
82481,4611352,2025-03-19,1,Sale,760.58,2,5
82481,4013480,2026-03-13,10,Sale,935.24,5,5
82481,1048076,2026-05-06,1,Sale,782.58,1,5
82481,9247581,2026-05-28,4,Sale,1517.76,5,5
82481,5963892,2025-10-20,4,Sale,1761.2,5,5
24664,5715600,2024-09-28,4,Sale,2070.49,5,6
24664,8195628,2026-04-27,2,Sale,4439.61,4,6
24664,1560242,2025-09-28,6,Sale,1342.08,4,6
24664,1584654,2025-03-05,4,Sale,1055.12,1,6
24664,3688041,2026-03-12,8,Sale,1635.19,4,6
24664,7668833,2026-01-07,10,Sale,613.09,3,6
23943,2597915,2024-11-22,2,Sale,3616.88,5,8
23943,4835488,2024-11-01,7,Return,9999.99,4,
23943,5210452,2025-01-02,1,Sale,1403.17,4,8
23943,1030916,2025-02-19,2,Sale,8401.61,5,8
23943,9921524,2025-06-25,2,Sale,3274.94,1,8
23943,9978005,2025-06-23,5,Sale,9150.27,2,8
23943,8943999,2025-05-06,1,Sale,687.26,2,8
23943,1225881,2026-05-26,4,Sale,1338.41,1,8
23943,6874539,2026-02-23,5,Sale,7295.36,5,8
15711,5315300,2025-11-24,3,Sale,1113.24,2,4
15711,1207109,2025-06-15,10,Sale,2226.97,5,4
15711,5787712,2026-05-07,6,Sale,4255.51,5,4
15711,7411033,2025-12-18,10,Sale,1427.1,5,4
60980,9067471,2025-08-07,5,Sale,2974.35,4,5
60980,4083617,2026-03-30,5,Sale,4911.15,2,5
60980,7634661,2025-07-26,7,Sale,5332.65,1,5
60980,8315582,2024-09-08,1,Return,403.03,2,
60980,2659238,2025-01-15,5,Sale,4992.02,2,5
60980,6745668,2025-11-28,4,Sale,1230.92,5,5
37753,9090103,2026-03-27,7,Sale,6453.95,5,2
37753,9536243,2025-02-24,8,Sale,3556.24,5,2
14199,3198237,2025-09-11,4,Sale,790.06,2,16
14199,6890846,2026-04-05,4,Sale,1907.48,4,16
14199,4347125,2025-08-30,1,Sale,267.53,2,16
14199,4398353,2025-09-12,2,Sale,2728.62,1,16
14199,3145973,2026-02-13,2,Sale,5978.79,4,16
14199,3312567,2025-07-04,10,Sale,743.58,5,16
14199,7839513,2025-03-09,5,Sale,5868.58,2,16
14199,5166336,2024-08-07,1,Sale,647.43,2,16
14199,3045378,2025-03-25,2,Sale,2911.99,2,16
14199,2532780,2024-10-17,3,Sale,1809.06,4,16
14199,7980898,2025-01-25,3,Sale,1373.01,5,16
14199,8597129,2026-03-23,5,Sale,2203.32,5,16
14199,4412560,2025-04-06,8,Sale,1692.4,1,16
14199,6966000,2026-01-12,6,Sale,681.61,5,16
14199,1689026,2026-06-14,7,Sale,9999.99,2,16
14199,8438847,2025-10-16,8,Sale,1850.17,4,16
77898,8971143,2026-03-26,8,Sale,3592.42,2,10
77898,6524349,2026-03-26,10,Sale,515.33,5,10
77898,5782360,2025-05-12,2,Sale,2611.32,2,10
77898,2665100,2025-04-04,4,Sale,585.67,1,10
77898,8600437,2025-10-29,3,Sale,1041.44,1,10
77898,5416800,2026-01-22,2,Sale,3637.12,4,10
77898,2385976,2025-01-06,5,Sale,8194.64,4,10
77898,3970784,2025-03-04,9,Sale,4101.29,2,10
77898,5084685,2025-09-11,2,Sale,8360.91,3,10
77898,7882750,2025-10-29,9,Sale,4743.34,1,10
82360,7851802,2025-04-21,2,Return,5962.07,5,
82360,8636010,2024-08-09,8,Return,2869.29,5,
82360,6395734,2025-08-17,3,Return,1838.44,3,
82360,8864901,2025-04-09,7,Sale,6840.81,3,1
82360,7820986,2026-03-01,7,Return,4113.09,4,
33561,2431452,2025-07-21,7,Sale,8746.19,3,15
33561,4627750,2025-12-20,10,Sale,1399.22,4,15
33561,9327006,2025-08-16,7,Return,9999.99,4,
33561,6135093,2025-03-06,3,Sale,1976.19,3,15
33561,3131738,2024-09-13,2,Sale,5190.72,3,15
33561,1353296,2025-09-02,8,Return,3444.53,5,
33561,7409770,2026-06-08,1,Sale,581.7,3,15
33561,7187368,2025-01-06,4,Sale,753.2,1,15
33561,1536398,2025-02-25,8,Sale,1450.15,3,15
33561,9560314,2025-11-06,7,Return,6418.64,5,
33561,4791518,2025-07-14,10,Sale,729.86,1,15
33561,9125166,2025-12-07,8,Sale,4018.75,2,15
33561,3458507,2025-03-25,1,Sale,1570.42,5,15
33561,5944145,2024-12-19,5,Sale,8270.15,3,15
33561,6005131,2024-11-20,5,Sale,3423.07,3,15
33561,1442821,2026-03-30,10,Sale,858.13,2,15
33561,2517182,2025-10-13,6,Sale,1037.68,5,15
33561,8715516,2026-01-16,4,Sale,906.41,1,15
34724,4685815,2026-03-19,2,Sale,8526.41,4,10
34724,5746375,2026-01-29,2,Sale,6074.69,5,10
34724,2613976,2026-04-11,5,Sale,4393.68,1,10
34724,1998598,2026-02-18,6,Sale,1067.65,5,10
34724,5369135,2025-09-23,1,Sale,656.29,1,10
34724,9281083,2026-03-25,4,Sale,1693.87,4,10
34724,6715889,2025-02-16,3,Sale,1228.97,4,10
34724,5086119,2025-11-21,3,Sale,1122.68,1,10
34724,6407129,2025-12-04,4,Sale,1028.56,4,10
34724,1056839,2024-09-22,2,Sale,4493.45,2,10
39261,8643235,2026-02-06,5,Sale,6811.49,3,3
39261,8097061,2026-02-19,1,Sale,492.62,4,3
39261,3616613,2025-11-28,7,Sale,5375.6,4,3
19146,9518067,2025-10-12,7,Sale,5597.61,1,9
19146,9835905,2026-02-16,10,Sale,1390.55,4,9
19146,7970705,2026-05-27,2,Sale,4739.96,4,9
19146,8003495,2025-06-20,7,Sale,9999.99,1,9
19146,9839858,2026-05-23,3,Sale,1499.77,4,9
19146,2604926,2025-06-04,6,Sale,1199.41,4,9
19146,2591730,2024-10-27,6,Sale,2342.14,4,9
19146,9213436,2025-07-07,9,Sale,2264.54,1,9
19146,6008781,2025-02-25,3,Sale,1280.3,3,9
71712,3211890,2026-03-17,5,Sale,8916.39,3,11
71712,5120348,2025-02-15,6,Sale,1281.71,3,11
71712,3194898,2026-03-06,4,Sale,886.44,5,11
71712,1902917,2026-05-19,2,Sale,3017.11,2,11
71712,8576413,2026-01-28,7,Sale,5496.38,4,11
71712,4484804,2026-03-31,9,Sale,6604.35,2,11
71712,1293038,2025-08-07,7,Sale,9999.99,2,11
71712,2951966,2025-06-11,10,Sale,774.49,3,11
71712,1260379,2025-05-20,8,Sale,5866,3,11
71712,6993347,2026-01-04,4,Sale,1240.4,4,11
71712,8167575,2026-05-22,7,Sale,9999.99,3,11
36217,1801372,2025-09-03,3,Sale,3884.67,5,13
36217,3890033,2024-08-16,10,Return,769.4,1,
36217,8240969,2024-10-24,7,Sale,7209.92,1,13
36217,7751590,2025-06-25,1,Sale,1475.72,4,13
36217,4950475,2026-02-21,4,Sale,566.96,4,13
36217,1291540,2024-11-28,7,Sale,9037.57,4,13
36217,3256357,2026-02-12,6,Sale,2623.96,3,13
36217,6499132,2025-05-09,7,Sale,7318.62,5,13
36217,4165911,2025-12-05,4,Sale,1396.35,1,13
36217,8825550,2026-03-22,1,Sale,692.17,4,13
36217,4955467,2024-11-07,5,Sale,9999.99,5,13
36217,1937570,2026-04-23,10,Sale,783.4,3,13
36217,4452432,2026-05-25,10,Sale,741.85,5,13
36217,3167577,2025-12-06,5,Sale,9705.91,2,13
36969,4682103,2026-03-31,3,Sale,2052.8,2,13
36969,2897601,2025-03-08,6,Sale,924.76,1,13
36969,3177979,2026-07-18,8,Sale,4085.58,4,13
36969,4366195,2024-10-16,6,Sale,742.2,2,13
36969,9847040,2025-07-10,1,Sale,1051.31,5,13
36969,4724154,2025-02-26,1,Sale,1230.99,2,13
36969,6801150,2024-09-30,1,Sale,697.51,1,13
36969,1760257,2025-09-19,4,Sale,899.73,5,13
36969,3010700,2025-09-04,1,Sale,528.09,1,13
36969,8664074,2026-03-10,5,Sale,2334.98,1,13
36969,1742216,2026-05-14,5,Sale,9999.99,5,13
36969,7454357,2026-05-21,3,Sale,2297.9,4,13
36969,9487920,2026-07-24,9,Return,1781.16,1,
36969,9201436,2026-01-31,7,Sale,9999.99,5,13
50859,2916716,2025-12-03,3,Sale,1180.77,3,4
50859,2694961,2026-06-28,7,Return,7466.35,5,
50859,9236091,2024-10-15,1,Sale,747.08,1,4
50859,7328307,2025-05-01,2,Sale,2275.61,4,4
50859,9279134,2025-09-26,1,Return,681.66,2,
50859,8133120,2025-05-22,2,Sale,2680.88,1,4
43480,5656371,2025-10-08,2,Sale,1716.05,3,21
43480,5002565,2025-04-22,9,Sale,4984.11,1,21
43480,5747509,2025-09-15,2,Sale,4551.95,5,21
43480,6700096,2025-02-03,1,Sale,1311.24,5,21
43480,1929855,2025-04-05,6,Sale,969.71,1,21
43480,1603000,2025-10-30,1,Return,686.22,4,
43480,4424155,2026-02-03,2,Sale,2931.07,2,21
43480,6832661,2025-04-26,2,Sale,1804.45,1,21
43480,6144822,2024-08-21,10,Sale,569.77,4,21
43480,8265719,2024-10-14,2,Sale,3709.28,5,21
43480,5835560,2024-10-11,4,Sale,647.88,2,21
43480,7669339,2025-08-25,10,Sale,1090.58,4,21
43480,4091742,2025-10-16,5,Sale,3701.56,4,21
43480,2251686,2024-09-27,7,Sale,6901.5,4,21
43480,2897572,2025-12-09,1,Sale,598.26,4,21
43480,1413669,2025-08-23,9,Sale,9999.99,5,21
43480,5039785,2026-04-05,5,Sale,5683.44,3,21
43480,3544801,2026-03-09,2,Sale,2522.06,4,21
43480,8876210,2026-03-29,9,Sale,2794.94,4,21
43480,6894627,2025-09-21,1,Sale,951.21,2,21
43480,2835929,2025-03-30,7,Sale,9999.99,5,21
43480,2511914,2026-05-05,1,Sale,347.71,1,21
34199,9491569,2024-12-25,5,Sale,2871.61,2,9
34199,4312979,2026-04-17,3,Sale,2080.84,3,9
34199,6760168,2025-07-11,3,Sale,2267.62,3,9
34199,1585420,2025-06-06,10,Sale,1342.71,5,9
34199,9409300,2026-04-05,2,Sale,2298.12,3,9
34199,4154208,2025-01-15,1,Sale,721.12,3,9
34199,4482793,2026-01-24,9,Sale,8291.58,5,9
34199,9231291,2025-02-23,8,Sale,2129.36,3,9
34199,6737684,2026-01-20,9,Sale,7292.63,3,9
97038,2375726,2025-11-11,6,Sale,1807.66,3,5
97038,2161231,2025-03-25,2,Sale,3687.25,4,5
